RA,Dec
4.425280620253463,32.94122429243691
4.431858837006194,32.85464847108306
4.434929014910949,32.81033311335856
4.440834200203778,32.72259462790767
4.4467954194838875,32.63604184955998
4.449977271540401,32.59171682794114
4.456020868914208,32.506968688571874
4.459245249856693,32.46356917715325
4.465500968362832,32.37624311172213
4.471857869962127,32.28874895782324
4.474420467524508,32.24320429661454
4.4808657090728845,32.157574419047606
4.48347576349542,32.11279383206098
4.490005458816412,32.029040976440044
4.4959697449668905,31.939719761517377
4.498708030322249,31.89482486450504
4.505426558832241,31.81286111773397
4.508262600750785,31.767401060853196
4.514463678652121,31.680268003833298
4.520725864646645,31.594370710361197
4.523643917925549,31.55027602389994
4.5293065307263305,31.461510975131407
4.532329925455092,31.416848644675856
4.538833400101477,31.33317273233446
4.5447743746147875,31.244543382518433
4.547880594049073,31.20129656282315
4.553922445595133,31.114331775561414
4.557017935911268,31.07319644914893
4.563454287561418,31.00077172218087
4.569029411718016,30.92922240107709
4.572597547588134,30.899793945850902
4.578696678122302,30.838870473768136
4.581446493244285,30.80850852754052
4.587399051773188,30.752706566067356
4.593758712571542,30.70833518612446
4.596984851503739,30.68832443939074
4.603164363339151,30.648994318532417
4.605763748569034,30.623893269450075
4.61182543557534,30.588218574194418
4.617825076369071,30.554571300379514
4.620865863599798,30.539793879722
4.62735510601017,30.515675243778595
4.63039426088456,30.501508103047936
4.636193715072006,30.473758044867466
4.642535711258846,30.454026241261825
4.645571390594621,30.440840700971304
4.6517669102915535,30.424552286620628
4.655335310127807,30.419284997541418
4.660979852732536,30.39685331423546
4.667149160515907,30.38254724616821
4.6700376834819535,30.3730353420033
4.6761229630521735,30.360930671997867
4.679662997724629,30.35735399770807
4.685727699633466,30.346439118356823
4.6917788294098886,30.336286432481106
4.694715029159054,30.327197618452626
4.700746657114253,30.318171477587043
4.704184551553733,30.31726398970628
4.7101917540929605,30.309390299223857
4.71618392375832,30.30227390038373
4.719028957594088,30.29560813102727
4.725134865825281,30.28770046774278
4.728602238557858,30.287464580153653
4.734613389099229,30.28169724420645
4.74060666939594,30.276691507459994
4.744047417494531,30.277509130085207
4.7500120633638305,30.273674573059022
4.752954979126147,30.267192712857547
4.7588932934889145,30.26448936843946
4.764949002381944,30.260811003660514
4.7684118719064355,30.262421358536454
4.774435490969498,30.259971307305634
4.777346182608841,30.255002544650754
4.783408625353418,30.25289275586149
4.789449098334306,30.25158955803663
4.792929549142632,30.254112564657444
4.798552405909607,30.24505609425333
4.802013664344686,30.248243680678712
4.80812201990482,30.247849865671185
4.81420643012132,30.248300010236015
4.817193774429122,30.244295650761067
4.823378704365496,30.24449634314441
4.826351562731591,30.2411050090148
4.83256761255603,30.241874130589302
4.838756360919837,30.24353881812998
4.841770988652632,30.240471901271377
4.847507433034641,30.23494501822919
4.851054017571581,30.239636887992358
4.856824829727085,30.23470540167485
4.863043670001898,30.23854752002276
4.866149930431212,30.23583875616859
4.872000362022161,30.231733272338783
4.875547685541734,30.2377374895087
4.881427848807681,30.2343498293021
4.887285328705343,30.23183299859354
4.890412536044893,30.230295241663576
4.896807497411427,30.236143789249496
4.899980963115591,30.23471719000395
4.911641870665172,30.232551518643824
4.914850731183219,30.2317380706473
4.920835216786904,30.231963410050152
4.924090921379746,30.231333197402193
4.930379361554282,30.232450528175477
4.936494838729157,30.233475285153194
4.9397816620566966,30.23359146917546
4.945533408021834,30.22695177042563
4.948800054721264,30.227816798715097
4.954896286704999,30.23130971375107
4.960726362028684,30.226058397638283
4.964022632223022,30.227731690402965
4.9702428467846635,30.232335405903367
4.97322694290763,30.22545930034848
4.97946739388122,30.231167636891488
4.985400274148931,30.22851677748382
4.988697620137094,30.23186526201914
4.99465843846912,30.230307089266116
4.997675631282368,30.224958456702026
5.003737351435995,30.22410320166674
5.009772889609567,30.224278681542252
5.013136795681897,30.228987431382798
5.019261157868735,30.230027320084524
5.022307942029438,30.2262964629043
5.0283928461951275,30.228900136588774
5.034177154976038,30.22317324383377
5.037602581245947,30.229421478558702
5.0434911165164245,30.22458486233113
5.046954040285596,30.231390759166562
5.052810081937985,30.228106049925593
5.058716104338705,30.22552245833698
5.061902206483965,30.224207689018925
5.067915084514721,30.22262935017359
5.071367645550599,30.23147124861883
5.077408140665548,30.23126828338399
5.083233911365919,30.22244478597553
5.086513500228595,30.222812454481854
5.092509324146052,30.225222852604325
5.095704595943316,30.226620827308636
5.101797900863294,30.23022077741075
5.107712346097854,30.225100603963103
5.111014267093589,30.22749029165942
5.116980599218739,30.22376337010884
5.120266748755537,30.226991840955833
5.126215975450099,30.224851186000148
5.132155829506272,30.223738242125652
5.1354810223416125,30.228211694867788
5.1415330904719285,30.228457101354675
5.144682301346117,30.223962210234603
5.150787865630238,30.225714716108467
5.156746160209694,30.22869833127993
5.159961125369068,30.225455355216567
5.165968685589212,30.22995323776577
5.169249156796078,30.22747404823558
