Dec,5.4,5.41,5.42,5.43,5.44,5.45,5.46,5.47,5.48,5.49,5.5,5.51,5.52,5.53,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,5.75,5.76,5.77,5.78,5.79,5.8
30.2,-43.8940060933431,-43.887699127197266,-43.89694322858538,-43.89423433939616,-43.898546491350444,-43.913368225097656,-43.92260627746582,-47.06490094321115,-47.585714975992836,-49.40897536277771,-43.93342399597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.19,-58.51868565877279,-51.20503075917562,-50.164485931396484,-51.212287267049156,-50.17020171029227,-49.40064477920532,-48.31706479390462,-47.06408051082066,-47.58484220504761,-43.91729736328125,-43.93342399597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.18,-43.8940060933431,-43.887699127197266,-43.89694322858538,-43.89423433939616,-43.898546491350444,-49.39756727218628,-43.92260627746582,-43.926592690604075,-43.925753593444824,-43.91729736328125,-43.93342399597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.93180305727066,-43.93733927967784,-44.38023314813171,-43.936128635599154,-43.94202175140381,-43.941585540771484,-43.951739120483396,-43.95883083343506,-43.95007801055908,-43.928009033203125,-43.92211023966471,-43.92684119088309,-43.92507825578962,-43.92066144943237,-43.923274993896484,-43.920162200927734,-43.93621587753296,-43.931780678885325,-43.93237468174526,-43.911168575286865,-43.90485654558454,-43.89829874038696,-43.886841365269255,-43.89553124564035,-43.88904285430908,-43.907959529331755,-43.91308266775949,-43.9230466570173,-43.929938725062776,-43.920113699776785,-43.91765022277832,-43.89814249674479
29.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.932406834193635,-44.42028090019366,-44.376757287979125,-44.375810890197755,-46.13875732421875,-43.941585540771484,-48.346623229980466,-49.45696544647217,-49.44545888900757,-51.2459405263265,-43.92211023966471,-50.200927461896626,-50.19985943748837,-49.41240739822388,-49.41069459915161,-50.19625963483538,-49.42601561546326,-50.2158933367048,-50.20715550013951,-49.401228189468384,-50.176002502441406,-43.89829874038696,-50.15959712437221,-50.160540444510325,-43.88904285430908,-43.907959529331755,-43.91308266775949,-43.9230466570173,-43.929938725062776,-43.920113699776785,-43.91765022277832,-43.89814249674479
29.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.932406834193635,-44.42002842224675,-44.37658347464896,-44.375971801757814,-46.13980331420898,-47.320775545560394,-48.34497833251953,-43.95883083343506,-49.438772201538086,-51.2542781829834,-51.2425537109375,-43.92684119088309,-43.92507825578962,-43.92066144943237,-43.923274993896484,-50.19680104936872,-43.93621587753296,-50.20849772862026,-50.205650329589844,-43.911168575286865,-50.17649895804269,-49.38481330871582,-50.15753092084612,-49.37770938873291,-49.37935924530029,-50.177433013916016,-50.18810217721121,-43.9230466570173,-43.929938725062776,-43.920113699776785,-43.91765022277832,-43.89814249674479
29.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.932406834193635,-43.93733927967784,-43.93724609375,-43.9365372467041,-43.94202175140381,-43.941585540771484,-43.951739120483396,-43.95883083343506,-43.95007801055908,-43.928009033203125,-43.92211023966471,-43.92684119088309,-43.92507825578962,-43.92066144943237,-43.923274993896484,-43.920162200927734,-43.93621587753296,-43.931780678885325,-43.93237468174526,-43.911168575286865,-43.90485654558454,-43.89829874038696,-43.886841365269255,-43.89400339126587,-43.88904285430908,-50.17700358799526,-50.188737051827566,-50.20025553022112,-50.20309230259487,-43.920113699776785,-43.91765022277832,-43.89814249674479
29.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.932494317331624,-44.41572239087976,-43.937586189496635,-43.9365372467041,-43.94202175140381,-43.941585540771484,-43.951739120483396,-43.95883083343506,-43.95007801055908,-43.928009033203125,-43.92211023966471,-43.92684119088309,-43.92507825578962,-43.92066144943237,-43.923274993896484,-43.920162200927734,-43.93621587753296,-43.931780678885325,-43.93237468174526,-43.911168575286865,-43.90485654558454,-43.89829874038696,-43.886841365269255,-43.89553124564035,-43.88904285430908,-43.907959529331755,-43.91308266775949,-43.9230466570173,-50.20209557669504,-50.196850549607056,-43.91765022277832,-43.89814249674479
29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.933473402454005,-43.938264621201384,-43.93809161466711,-43.9365372467041,-43.940291153757194,-43.941585540771484,-43.951739120483396,-43.95883083343506,-43.95007801055908,-43.928009033203125,-43.92211023966471,-43.92684119088309,-43.92507825578962,-43.92066144943237,-43.923274993896484,-43.920162200927734,-43.93621587753296,-43.931780678885325,-43.93237468174526,-43.911168575286865,-43.90485654558454,-43.89829874038696,-43.886841365269255,-43.89553124564035,-43.88938740321568,-43.907959529331755,-43.91308266775949,-43.9230466570173,-43.929938725062776,-43.920113699776785,-51.23532931009928,-58.52556864420573
