Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),,True RA,True DEC
2026-07-11,10:56:27.244,4.533281389740296e-05,-43.435874938964844,-118.36341094970703,412.4158020019531,417.33001708984375,-4.914215087890625,,2.9910430908203125,-45.61200714111328,0.9328486323356628,8.658370971679688,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.5497741699219,42.854515075683594,23.058917999267578,28.31766128540039,0,10,0,0,2026-07-11T14:56:27.244Z,300.5400085449219,42.900001525878906,0,0,,0.5900905946502781,44.00727986670409
2026-07-11,10:56:28.264,4.476475442061201e-05,-43.490638732910156,-118.42072296142578,407.0096740722656,417.33001708984375,-10.320343017578125,,2.9910430908203125,-95.7897720336914,0.9206204414367676,8.544873237609863,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.5505676269531,42.8515739440918,23.058910369873047,28.31765365600586,0,10,0,0,2026-07-11T14:56:28.264Z,300.5400085449219,42.88999938964844,0,0,,0.5894647206239892,44.00532929108751
2026-07-11,10:56:29.271,4.432066998560913e-05,-43.533935546875,-118.46378326416016,402.9940185546875,417.33001708984375,-14.33599853515625,,2.9910430908203125,-133.06167602539062,0.9115373492240906,8.460567474365234,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.5513610839844,42.848636627197266,23.058900833129883,28.317644119262695,0,10,0,0,2026-07-11T14:56:29.271Z,300.5400085449219,42.88999938964844,0,0,,0.5897445495038057,44.00533089180688
2026-07-11,10:56:30.273,4.4073683966416866e-05,-43.55820846557617,-118.48754119873047,400.79541015625,417.33001708984375,-16.53460693359375,,2.9910430908203125,-153.46836853027344,0.9065642952919006,8.414408683776855,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.5521545410156,42.845699310302734,23.05889129638672,28.31763458251953,0,10,0,0,2026-07-11T14:56:30.273Z,300.54998779296875,42.88999938964844,0,0,,0.5898906916811172,44.01250380603807
2026-07-11,10:56:31.273,4.41605516243726e-05,-43.54965591430664,-118.47947692871094,401.5401916503906,417.33001708984375,-15.789825439453125,,2.9910430908203125,-146.55557250976562,0.9082489609718323,8.430045127868652,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.552978515625,42.8427619934082,23.058883666992188,28.317626953125,0,10,0,0,2026-07-11T14:56:31.273Z,300.54998779296875,42.880001068115234,0,0,,0.5892595395635065,44.01055323997074
2026-07-11,10:56:32.289,4.4419510231819004e-05,-43.524261474609375,-118.45394897460938,403.90771484375,417.33001708984375,-13.42230224609375,,2.9910430908203125,-124.58106231689453,0.9136040806770325,8.47974967956543,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.55377197265625,42.83982467651367,23.058874130249023,28.317617416381836,0,10,0,0,2026-07-11T14:56:32.289Z,300.54998779296875,42.880001068115234,0,0,,0.5895418692661795,44.01055485443392
2026-07-11,10:56:33.300,4.4371048716129735e-05,-43.52900314331055,-118.45895385742188,403.44207763671875,417.33001708984375,-13.887939453125,,2.9910430908203125,-128.90293884277344,0.9125508666038513,8.46997356414795,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.5545654296875,42.836883544921875,23.058866500854492,28.317609786987305,0,10,0,0,2026-07-11T14:56:33.300Z,300.54998779296875,42.880001068115234,0,0,,0.5898228095587953,44.01055646173087
2026-07-11,10:56:34.296,4.481188807403669e-05,-43.48606872558594,-118.41630554199219,407.42327880859375,417.33001708984375,-9.90673828125,,2.9910430908203125,-91.95084381103516,0.9215559959411621,8.553556442260742,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.55535888671875,42.833946228027344,23.05885887145996,28.317602157592773,0,10,0,0,2026-07-11T14:56:34.296Z,300.55999755859375,42.869998931884766,0,0,,0.5890573486501571,44.015798758019685
2026-07-11,10:56:35.299,4.4154567149234936e-05,-43.55024337768555,-118.48036193847656,401.45806884765625,417.33001708984375,-15.8719482421875,,2.9910430908203125,-147.31781005859375,0.9080631732940674,8.42832088470459,6.088603549869731e-05,0,0.5833333730697632,44,119.87893676757812,-18.772111892700195,300.55615234375,42.83100891113281,23.058849334716797,28.31759262084961,0,10,0,0,2026-07-11T14:56:35.299Z,300.57000732421875,42.869998931884766,0,0,,0.5892032021623976,44.02299573010594
2026-07-11,10:56:36.316,4.435390655999072e-05,-43.53068161010742,-118.46186065673828,403.1724853515625,417.23004150390625,-14.05755615234375,,2.98799467086792,-130.47726440429688,0.9119410514831543,8.464313507080078,6.088603549869731e-05,0,0.6666666865348816,44,120.82721710205078,-18.823490142822266,300.3218994140625,43.710182189941406,23.12677001953125,28.11663818359375,0,10,0,0,2026-07-11T14:56:36.316Z,300.57000732421875,42.86000061035156,0,0,,0.5885766387896537,44.02104379008616
2026-07-11,10:56:37.332,4.4268086639931425e-05,-43.539093017578125,-118.46688079833984,402.7066650390625,417.23004150390625,-14.52337646484375,,2.98799467086792,-134.80084228515625,0.9108874201774597,8.454534530639648,6.088603549869731e-05,0,0.6666666865348816,44,120.82721710205078,-18.823490142822266,300.3226623535156,43.707237243652344,23.126758575439453,28.116626739501953,0,10,0,0,2026-07-11T14:56:37.332Z,300.57000732421875,42.869998931884766,0,0,,0.5897681388612427,44.0229989611139
2026-07-11,10:56:38.333,4.422407801030204e-05,-43.54341125488281,-118.47308349609375,402.1318054199219,417.23004150390625,-15.098236083984375,,3.1094589233398438,-140.13648986816406,0.9095871448516846,8.442465782165527,6.088603549869731e-05,0,0.6666666865348816,55,121.3448715209961,-7.834986686706543,315.62255859375,44.72317886352539,19.449602127075195,26.081279754638672,0,10,0,0,2026-07-11T14:56:38.333Z,300.57000732421875,42.90999984741211,0,0,,0.593684274999965,44.03080005917673
