Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2026-07-10,11:26:17.773,4.1365958168171346e-05,-43.83356857299805,-118.57341766357422,392.947998046875,336.33001708984375,56.61798095703125,,3.1044833660125732,525.508056640625,0.8888141512870789,8.249658584594727,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.30271911621094,83.13304138183594,12.137884140014648,2.3763694763183594,0,0,0,0,2026-07-10T15:26:17.773Z,259.1099853515625,80.70999908447266,0,0,
2026-07-10,11:26:18.792,4.196261215838604e-05,-43.7713737487793,-118.50706481933594,398.99755859375,336.33001708984375,62.66754150390625,,3.1044833660125732,581.6578979492188,0.9024977087974548,8.376664161682129,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.32493591308594,83.13549041748047,12.13786506652832,2.3763504028320312,0,10,0,0,2026-07-10T15:26:18.792Z,258.45001220703125,80.76000213623047,0,0,
2026-07-10,11:26:19.792,4.2070903873536736e-05,-43.76018142700195,-118.49688720703125,399.9340515136719,336.33001708984375,63.604034423828125,,3.1044833660125732,590.3501586914062,0.9046159982681274,8.39632511138916,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.34716796875,83.13793182373047,12.137846946716309,2.3763322830200195,0,10,0,0,2026-07-10T15:26:19.792Z,258.1199951171875,80.77999877929688,0,0,
2026-07-10,11:26:20.791,4.2012823541881517e-05,-43.76618194580078,-118.50464630126953,399.2195129394531,336.33001708984375,62.889495849609375,,3.1044833660125732,583.718017578125,0.902999758720398,8.38132381439209,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.36940002441406,83.14036560058594,12.13782787322998,2.3763132095336914,0,10,0,0,2026-07-10T15:26:20.791Z,257.4599914550781,80.81999969482422,0,0,
2026-07-10,11:26:21.808,4.1726281779119745e-05,-43.795902252197266,-118.5318832397461,396.72381591796875,336.33001708984375,60.393798828125,,3.1044833660125732,560.5538940429688,0.8973547220230103,8.32892894744873,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.39166259765625,83.14280700683594,12.137809753417969,2.3762950897216797,0,10,0,0,2026-07-10T15:26:21.808Z,256.79998779296875,80.86000061035156,0,0,
2026-07-10,11:26:22.827,4.150288805249147e-05,-43.819217681884766,-118.55723571777344,394.41448974609375,336.33001708984375,58.08447265625,,3.1044833660125732,539.1195068359375,0.8921312093734741,8.28044605255127,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.41392517089844,83.14524841308594,12.13779067993164,2.3762760162353516,0,10,0,0,2026-07-10T15:26:22.827Z,256.4599914550781,80.87999725341797,0,0,
2026-07-10,11:26:23.829,4.175557114649564e-05,-43.79285430908203,-118.53101348876953,396.80328369140625,336.33001708984375,60.4732666015625,,3.1044833660125732,561.2914428710938,0.8975344896316528,8.330596923828125,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.43621826171875,83.1476821899414,12.137772560119629,2.37625789642334,0,10,0,0,2026-07-10T15:26:23.829Z,255.8000030517578,80.91999816894531,0,0,
2026-07-10,11:26:24.828,4.163313496974297e-05,-43.80561065673828,-118.54005432128906,395.9782409667969,336.33001708984375,59.648223876953125,,3.1044833660125732,553.6337280273438,0.8956682682037354,8.313276290893555,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.45851135253906,83.1501235961914,12.1377534866333,2.3762388229370117,0,10,0,0,2026-07-10T15:26:24.828Z,255.4600067138672,80.94000244140625,0,0,
2026-07-10,11:26:25.836,4.156626164331101e-05,-43.812591552734375,-118.55105590820312,394.9765319824219,336.33001708984375,58.646514892578125,,3.1044833660125732,544.336181640625,0.8934025168418884,8.292245864868164,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.48081970214844,83.15255737304688,12.137735366821289,2.376220703125,0,10,0,0,2026-07-10T15:26:25.836Z,254.77000427246094,80.9800033569336,0,0,
2026-07-10,11:26:26.855,4.1706443880684674e-05,-43.797969818115234,-118.53501892089844,396.4375,336.33001708984375,60.10748291015625,,3.1044833660125732,557.8963623046875,0.8967071175575256,8.322917938232422,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.50315856933594,83.15499114990234,12.137716293334961,2.376201629638672,0,10,0,0,2026-07-10T15:26:26.855Z,254.07000732421875,81.0199966430664,0,0,
2026-07-10,11:26:27.858,4.192375126876868e-05,-43.77539825439453,-118.51358795166016,398.3988342285156,336.33001708984375,62.068817138671875,,3.1044833660125732,576.1007690429688,0.9011434316635132,8.364094734191895,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.52549743652344,83.15742492675781,12.13769817352295,2.37618350982666,0,10,0,0,2026-07-10T15:26:27.858Z,253.72999572753906,81.02999877929688,0,0,
2026-07-10,11:26:28.859,4.1923962271539494e-05,-43.77537536621094,-118.51213836669922,398.53173828125,336.33001708984375,62.20172119140625,,3.1044833660125732,577.3343505859375,0.9014440774917603,8.3668851852417,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.54786682128906,83.15985870361328,12.137678146362305,2.3761634826660156,0,10,0,0,2026-07-10T15:26:28.859Z,253.02999877929688,81.06999969482422,0,0,
2026-07-10,11:26:29.860,4.21669683419168e-05,-43.750274658203125,-118.48755645751953,400.7938232421875,336.33001708984375,64.46380615234375,,3.1044833660125732,598.3302001953125,0.9065607190132141,8.414375305175781,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.5702362060547,83.16229248046875,12.137660026550293,2.376145362854004,0,10,0,0,2026-07-10T15:26:29.860Z,252.69000244140625,81.08000183105469,0,0,
2026-07-10,11:26:30.886,4.218339381623082e-05,-43.74858474731445,-118.4852523803711,401.0064697265625,336.33001708984375,64.67645263671875,,3.1044833660125732,600.303955078125,0.9070417284965515,8.418840408325195,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.59263610839844,83.16471862792969,12.137640953063965,2.376126289367676,0,10,0,0,2026-07-10T15:26:30.886Z,251.99000549316406,81.12000274658203,0,0,
2026-07-10,11:26:31.897,4.2267372919013724e-05,-43.73994827270508,-118.47639465332031,401.8250732421875,336.33001708984375,65.49505615234375,,3.1044833660125732,607.9019775390625,0.9088932871818542,8.436025619506836,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.6150360107422,83.16715240478516,12.137621879577637,2.3761072158813477,0,10,0,0,2026-07-10T15:26:31.897Z,251.27000427246094,81.1500015258789,0,0,
2026-07-10,11:26:32.896,4.2409385059727356e-05,-43.725379943847656,-118.4615249633789,403.2034912109375,336.33001708984375,66.87347412109375,,3.1044833660125732,620.6959228515625,0.9120111465454102,8.464964866638184,6.088603549869731e-05,0,5.50166654586792,30.248611450195312,177.15280151367188,-2.146787166595459,134.637451171875,83.1695785522461,12.137603759765625,2.376089096069336,0,10,0,0,2026-07-10T15:26:32.896Z,250.9199981689453,81.16000366210938,0,0,
