Dec,5.4,5.5,5.6,5.7,5.8
30.2,-43.89154052734375,-43.95489217157233,-43.936411666870114,-43.938131604875835,-43.95105877668498
30.1,0.0,0.0,0.0,0.0,-43.92267417907715
30.0,0.0,0.0,0.0,0.0,-43.952334594726565
29.9,0.0,0.0,0.0,0.0,-43.93655014038086
29.8,0.0,-43.89039611816406,0.0,0.0,-43.93638916015625
29.7,0.0,-43.93704645066034,-43.932346012281336,-43.908198646877125,-43.90144966018032
29.6,0.0,-43.96545664469401,0.0,0.0,0.0
29.5,0.0,-43.979627227783205,0.0,0.0,0.0
29.4,0.0,-43.907492319742836,0.0,0.0,0.0
29.3,0.0,-43.9479084777832,0.0,0.0,0.0
29.2,0.0,-43.94497969842726,-43.94133987426758,-43.94915535336449,-43.94486958047618
29.1,0.0,0.0,0.0,0.0,-43.93404006958008
29.0,0.0,0.0,0.0,0.0,-43.94601821899414
28.9,0.0,0.0,0.0,0.0,-43.9486722946167
28.8,0.0,-43.901753997802736,-43.91953945159912,0.0,-43.93258552551269
28.7,0.0,-43.92833162943522,-43.92398251985249,-43.90270840037953,-43.94243471739722
28.6,0.0,-43.961588541666664,0.0,0.0,0.0
28.5,0.0,-43.95445251464844,0.0,0.0,0.0
28.4,0.0,-43.96630859375,0.0,0.0,0.0
28.3,0.0,-43.96403564945344,0.0,0.0,0.0
28.2,0.0,-43.95990414089627,-43.964060592651364,-43.959811256045384,-43.94585529963175
28.1,0.0,0.0,0.0,0.0,-43.94606685638428
28.0,0.0,0.0,0.0,0.0,-43.94502258300781
27.9,0.0,0.0,0.0,0.0,-43.93547010421753
27.8,0.0,-44.01389612470354,-43.98980785551525,-44.01409085591634,-43.96930137047401
27.7,0.0,-44.00160173688616,-43.99107106526693,-44.00687713623047,-43.965694669693235
27.6,0.0,-44.02193603515625,0.0,0.0,0.0
27.5,0.0,-44.03894805908203,0.0,0.0,0.0
27.4,0.0,-43.99166573418511,0.0,0.0,0.0
27.3,0.0,-44.0288409415008,-44.04155384410512,0.0,0.0
27.2,0.0,-44.036367856539215,-44.02670457628038,-43.995123545328774,-43.99919064125318
27.1,0.0,0.0,0.0,0.0,-44.03009033203125
27.0,0.0,0.0,0.0,0.0,-44.02143783569336
26.9,0.0,0.0,0.0,0.0,-43.99796533584595
26.8,0.0,-44.069656572843854,-44.03679428100586,-44.024917309100815,-43.9859873453776
26.7,0.0,-44.050411224365234,-44.02895400103401,-44.02145559137518,-43.99131574469098
26.6,0.0,-44.10543314615885,0.0,0.0,0.0
26.5,0.0,-44.08073425292969,0.0,0.0,-44.06284713745117
26.4,0.0,-44.07324496182528,0.0,0.0,0.0
26.3,0.0,-44.06237870503247,-44.05451202392578,-44.04944356282552,-44.06224927902222
26.2,0.0,-44.05926259358724,-44.05584716796875,-44.04447488223805,-44.058446672227646
26.1,0.0,0.0,0.0,0.0,-44.05265712738037
26.0,0.0,0.0,0.0,0.0,-44.04964828491211
25.9,0.0,0.0,0.0,0.0,-44.05396795272827
25.8,0.0,-44.0267516544887,-44.05391658436168,-44.04714366367885,-44.04326207297189
25.7,0.0,0.0,-44.05063056945801,-44.04035186767578,-44.025324957711355
